FLAI_time	date	location	total_cases	new_cases	total_deaths	new_deaths	population	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	total_boosters_per_hundred	total_vaccinations_per_hundred
43830	2020-01-01	Argentina					45605823.0				
43831	2020-01-02	Argentina					45605823.0				
43832	2020-01-03	Argentina					45605823.0				
43833	2020-01-04	Argentina					45605823.0				
43834	2020-01-05	Argentina					45605823.0				
43835	2020-01-06	Argentina					45605823.0				
43836	2020-01-07	Argentina					45605823.0				
43837	2020-01-08	Argentina					45605823.0				
43838	2020-01-09	Argentina					45605823.0				
43839	2020-01-10	Argentina					45605823.0				
43840	2020-01-11	Argentina					45605823.0				
43841	2020-01-12	Argentina					45605823.0				
43842	2020-01-13	Argentina					45605823.0				
43843	2020-01-14	Argentina					45605823.0				
43844	2020-01-15	Argentina					45605823.0				
43845	2020-01-16	Argentina					45605823.0				
43846	2020-01-17	Argentina					45605823.0				
43847	2020-01-18	Argentina					45605823.0				
43848	2020-01-19	Argentina					45605823.0				
43849	2020-01-20	Argentina					45605823.0				
43850	2020-01-21	Argentina					45605823.0				
43851	2020-01-22	Argentina					45605823.0				
43852	2020-01-23	Argentina					45605823.0				
43853	2020-01-24	Argentina					45605823.0				
43854	2020-01-25	Argentina					45605823.0				
43855	2020-01-26	Argentina					45605823.0				
43856	2020-01-27	Argentina					45605823.0				
43857	2020-01-28	Argentina					45605823.0				
43858	2020-01-29	Argentina					45605823.0				
43859	2020-01-30	Argentina					45605823.0				
43860	2020-01-31	Argentina					45605823.0				
43861	2020-02-01	Argentina					45605823.0				
43862	2020-02-02	Argentina					45605823.0				
43863	2020-02-03	Argentina					45605823.0				
43864	2020-02-04	Argentina					45605823.0				
43865	2020-02-05	Argentina					45605823.0				
43866	2020-02-06	Argentina					45605823.0				
43867	2020-02-07	Argentina					45605823.0				
43868	2020-02-08	Argentina					45605823.0				
43869	2020-02-09	Argentina					45605823.0				
43870	2020-02-10	Argentina					45605823.0				
43871	2020-02-11	Argentina					45605823.0				
43872	2020-02-12	Argentina					45605823.0				
43873	2020-02-13	Argentina					45605823.0				
43874	2020-02-14	Argentina					45605823.0				
43875	2020-02-15	Argentina					45605823.0				
43876	2020-02-16	Argentina					45605823.0				
43877	2020-02-17	Argentina					45605823.0				
43878	2020-02-18	Argentina					45605823.0				
43879	2020-02-19	Argentina					45605823.0				
43880	2020-02-20	Argentina					45605823.0				
43881	2020-02-21	Argentina					45605823.0				
43882	2020-02-22	Argentina					45605823.0				
43883	2020-02-23	Argentina					45605823.0				
43884	2020-02-24	Argentina					45605823.0				
43885	2020-02-25	Argentina					45605823.0				
43886	2020-02-26	Argentina					45605823.0				
43887	2020-02-27	Argentina					45605823.0				
43888	2020-02-28	Argentina					45605823.0				
43889	2020-02-29	Argentina					45605823.0				
43890	2020-03-01	Argentina					45605823.0				
43891	2020-03-02	Argentina					45605823.0				
43892	2020-03-03	Argentina	1.0	1.0			45605823.0				
43893	2020-03-04	Argentina	1.0	0.0			45605823.0				
43894	2020-03-05	Argentina	1.0	0.0			45605823.0				
43895	2020-03-06	Argentina	2.0	1.0			45605823.0				
43896	2020-03-07	Argentina	8.0	6.0			45605823.0				
43897	2020-03-08	Argentina	12.0	4.0	1.0	1.0	45605823.0				
43898	2020-03-09	Argentina	12.0	0.0	1.0	0.0	45605823.0				
43899	2020-03-10	Argentina	17.0	5.0	1.0	0.0	45605823.0				
43900	2020-03-11	Argentina	19.0	2.0	1.0	0.0	45605823.0				
43901	2020-03-12	Argentina	19.0	0.0	1.0	0.0	45605823.0				
43902	2020-03-13	Argentina	31.0	12.0	2.0	1.0	45605823.0				
43903	2020-03-14	Argentina	34.0	3.0	2.0	0.0	45605823.0				
43904	2020-03-15	Argentina	45.0	11.0	2.0	0.0	45605823.0				
43905	2020-03-16	Argentina	56.0	11.0	2.0	0.0	45605823.0				
43906	2020-03-17	Argentina	68.0	12.0	2.0	0.0	45605823.0				
43907	2020-03-18	Argentina	79.0	11.0	2.0	0.0	45605823.0				
43908	2020-03-19	Argentina	97.0	18.0	3.0	1.0	45605823.0				
43909	2020-03-20	Argentina	128.0	31.0	3.0	0.0	45605823.0				
43910	2020-03-21	Argentina	158.0	30.0	4.0	1.0	45605823.0				
43911	2020-03-22	Argentina	266.0	108.0	4.0	0.0	45605823.0				
43912	2020-03-23	Argentina	301.0	35.0	4.0	0.0	45605823.0				
43913	2020-03-24	Argentina	387.0	86.0	6.0	2.0	45605823.0				
43914	2020-03-25	Argentina	387.0	0.0	8.0	2.0	45605823.0				
43915	2020-03-26	Argentina	502.0	115.0	9.0	1.0	45605823.0				
43916	2020-03-27	Argentina	589.0	87.0	13.0	4.0	45605823.0				
43917	2020-03-28	Argentina	690.0	101.0	18.0	5.0	45605823.0				
43918	2020-03-29	Argentina	745.0	55.0	19.0	1.0	45605823.0				
43919	2020-03-30	Argentina	820.0	75.0	23.0	4.0	45605823.0				
43920	2020-03-31	Argentina	1054.0	234.0	27.0	4.0	45605823.0				
43921	2020-04-01	Argentina	1054.0	0.0	28.0	1.0	45605823.0				
43922	2020-04-02	Argentina	1133.0	79.0	36.0	8.0	45605823.0				
43923	2020-04-03	Argentina	1265.0	132.0	39.0	3.0	45605823.0				
43924	2020-04-04	Argentina	1451.0	186.0	43.0	4.0	45605823.0				
43925	2020-04-05	Argentina	1451.0	0.0	44.0	1.0	45605823.0				
43926	2020-04-06	Argentina	1554.0	103.0	48.0	4.0	45605823.0				
43927	2020-04-07	Argentina	1628.0	74.0	56.0	8.0	45605823.0				
43928	2020-04-08	Argentina	1715.0	87.0	63.0	7.0	45605823.0				
43929	2020-04-09	Argentina	1795.0	80.0	72.0	9.0	45605823.0				
43930	2020-04-10	Argentina	1975.0	180.0	82.0	10.0	45605823.0				
43931	2020-04-11	Argentina	1975.0	0.0	83.0	1.0	45605823.0				
43932	2020-04-12	Argentina	2142.0	167.0	90.0	7.0	45605823.0				
43933	2020-04-13	Argentina	2208.0	66.0	97.0	7.0	45605823.0				
43934	2020-04-14	Argentina	2277.0	69.0	102.0	5.0	45605823.0				
43935	2020-04-15	Argentina	2443.0	166.0	111.0	9.0	45605823.0				
43936	2020-04-16	Argentina	2571.0	128.0	115.0	4.0	45605823.0				
43937	2020-04-17	Argentina	2669.0	98.0	123.0	8.0	45605823.0				
43938	2020-04-18	Argentina	2758.0	89.0	129.0	6.0	45605823.0				
43939	2020-04-19	Argentina	2839.0	81.0	132.0	3.0	45605823.0				
43940	2020-04-20	Argentina	2941.0	102.0	136.0	4.0	45605823.0				
43941	2020-04-21	Argentina	3031.0	90.0	147.0	11.0	45605823.0				
43942	2020-04-22	Argentina	3144.0	113.0	152.0	5.0	45605823.0				
43943	2020-04-23	Argentina	3435.0	291.0	165.0	13.0	45605823.0				
43944	2020-04-24	Argentina	3607.0	172.0	176.0	11.0	45605823.0				
