Country	time	s_hat	s_var	x_eff_vac	x_eff_vac0	x_eff_boost	x_eff_delta	x_eff_omi	cases	dC_vac	dC_boost	dC_delta	dC_omi
ITALY	44546	0.165	2.46e-05	0.3328517709527563	0.3936793973340675	0.21108312815347913	0.01595317934974408	0.00029237942607826864	29.216617892330344	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
ITALY	44553	0.137	5.8e-06	0.3004295955504308	0.37579335840065503	0.2678796348277941	0.018187356697935537	0.0011801576795351717	40.28549304862106	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
ITALY	44560	0.115	4.6e-06	0.27090551834086923	0.3580589339800644	0.32145998413948157	0.021534905670052812	0.0043766448681001454	77.23276442484509	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
ITALY	44567	0.102	6.8e-06	0.24090697089516114	0.3409907281883565	0.37977960602502187	0.026915404818636794	0.014866981380135176	165.98298996711875	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
ITALY	44574	0.093	1.04e-05	0.20974094838314922	0.3280016040539509	0.45675503230499465	0.031021712447136595	0.0321998511347033	254.1343278512805	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
ITALY	44581	0.079	1.89e-05	0.18127007300487366	0.3145422302822922	0.5383671788821657	0.0333555086987658	0.05176968010769012	294.0017149302147	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
ITALY	44588	0.068	3.02e-05	0.1575639624058783	0.30165572796997997	0.6204377146892369	0.03427653113409954	0.0710543427965883	283.6553039191146	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
ITALY	44595	0.058	7.33e-05	0.14227325711667102	0.2912698798034942	0.7011782962051638	0.034379087541311255	0.08531165792590803	235.1498210021089	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
BELGIUM	44541	0.155	2.14e-05	0.3252876474040969	0.3933582716748103	0.2322463362344711	0.07302905137147304	0.0012772417354106422	130.74991370318858	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
BELGIUM	44548	0.125	6.7e-06	0.28647000037094617	0.37314386422284535	0.29503424145619817	0.07665253466742641	0.0023493214468105744	98.74601835424141	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
BELGIUM	44555	0.119	5.8e-06	0.2508545975436407	0.3531115741335694	0.36037540933631484	0.07841099810834534	0.003971985659376653	62.09072057250076	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
BELGIUM	44562	0.123	1.18e-05	0.22657035509991752	0.3323295204105921	0.41115306494766707	0.07976226251217311	0.007654692502118839	66.01312055402352	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
BELGIUM	44569	0.131	2.96e-05	0.18496135431642546	0.31321587481229424	0.49660901316024286	0.08132591888029805	0.016496624474240357	110.94076218925626	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
GERMANY	44544	0.145	5.7e-06	0.28122131503647074	0.366111550010681	0.24095461311983746	0.03406273342771147	0.00035916890411137343	61.292385355023825	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
GERMANY	44551	0.136	2e-06	0.24613078364509006	0.35552985231121287	0.31949877808213084	0.03674987214953018	0.0008429706488944882	51.41719248115623	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
GERMANY	44558	0.131	1.1e-06	0.22741037156328833	0.3409879205052006	0.3727321957009409	0.03805123515756423	0.001570267771991434	39.313486094732404	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
GERMANY	44565	0.125	1e-06	0.21006384097487757	0.3263464826630969	0.4245975181741778	0.038798336928568225	0.0028664597279232785	34.071004599406045	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
GERMANY	44572	0.13	1.8e-06	0.19228627539664017	0.31657084115766065	0.4905784592738906	0.03940955387396106	0.0058473348864969315	45.77582566054169	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
GERMANY	44579	0.134	3.6e-06	0.17707664839546078	0.3072038643946713	0.5610165252507857	0.039629526746486086	0.010907323620269001	68.86572384875724	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FRANCE	44544	0.16	9.9e-06	0.3335929566634707	0.39877513613625726	0.22592070139942716	0.03374164236548032	0.000514530301986372	69.79611007287434	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FRANCE	44551	0.14	3.4e-06	0.303430593282557	0.3895259439123024	0.29005352460642675	0.03770688523063125	0.0017804317127785574	77.643993553044	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FRANCE	44558	0.129	2.7e-06	0.28272949477939174	0.37596694675259024	0.33848947793980655	0.04171636322215169	0.005122031930234858	104.3805681627164	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FRANCE	44565	0.125	4.2e-06	0.26208872172737824	0.3627506670867377	0.39114859080658604	0.048359759085616495	0.016504595710280807	192.72087251441172	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FRANCE	44572	0.123	7.9e-06	0.23943138445088133	0.3537309151663996	0.4613987899205876	0.054346482424287995	0.03999767081847142	339.0297924515242	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FRANCE	44579	0.116	1.39e-05	0.22191020740594294	0.34300794138001967	0.5279943767377773	0.05674588892179111	0.06986390523450331	437.64132380133094	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SWITZERLAND	44542	0.154	1.81e-05	0.3163315697642924	0.3433744672187281	0.10925681284345039	0.04605656132238352	0.0006162474234622968	95.6832357026081	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SWITZERLAND	44549	0.143	6.4e-06	0.28921239978583896	0.329355272749681	0.1553119799627649	0.05230164665061171	0.0016208785679772473	100.27199835144171	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SWITZERLAND	44556	0.137	5.1e-06	0.2658902708936642	0.31421028927856315	0.19730512464687733	0.05614135765084758	0.003411378015893262	88.32698792900705	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SWITZERLAND	44563	0.127	5.9e-06	0.2442878105501704	0.29888359603960746	0.23898171600355428	0.061343472252413066	0.010421062750078697	120.01155643042149	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SWITZERLAND	44570	0.112	1.04e-05	0.22023108314609982	0.28610325369289913	0.2965040554074204	0.06491943281258801	0.024589513436574745	195.6798623998441	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SWITZERLAND	44577	0.103	2.11e-05	0.19926259047816208	0.2732127141966161	0.35431420849949374	0.0668349323392596	0.044317877419907614	255.35060510243784	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SWITZERLAND	44584	0.097	3.44e-05	0.18267083590528213	0.2599033251064326	0.4080429903336216	0.06753578030052948	0.06874435928687134	302.99066620128855	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NETHERLANDS	44537	0.138	2.8e-05	0.35935432389641975	0.36774360634492953	0.03976689370618821	0.06228920966694544	0.0009152778348187846	124.4970766479238	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NETHERLANDS	44544	0.127	8.8e-06	0.3318620999529929	0.3505162499521776	0.07164611104360837	0.06757707543390334	0.0020265812492548606	107.66221470244868	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NETHERLANDS	44551	0.12	4.6e-06	0.2965505864072393	0.33284103582244307	0.12131188547292261	0.07090251418073085	0.0036046150724867707	86.98568431136134	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NETHERLANDS	44558	0.13	5.9e-06	0.2535206512997863	0.3149644497867795	0.19122681705051633	0.07257447569551871	0.006050668984243004	75.54724850396788	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NETHERLANDS	44565	0.133	1.05e-05	0.20318255876742822	0.2975722153765207	0.28014333141982556	0.07353855124945097	0.01094151892069433	86.52139212654401	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NETHERLANDS	44572	0.135	2.66e-05	0.15937935289628913	0.2806365460118015	0.37042115576131934	0.07405498017741402	0.021772751596924527	135.33612522006808	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NY	44535	0.16	1.45e-05	0.2575474259547316	0.2732229475499411	0.1608929179999819	0.021351293363676742	0.0003951884866077406	29.3470303082085	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NY	44542	0.12	2.8e-06	0.24989691040874987	0.2732503577991537	0.20663729690571098	0.02300852298950616	0.001036486672505633	34.28995900203992	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NY	44549	0.113	3.3e-06	0.23981567375502996	0.2655415581469559	0.23720570421055806	0.024392919989664474	0.00226234951992015	38.42336679281563	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NY	44556	0.111	5.7e-06	0.229453217118305	0.25633936696268483	0.2673193533950519	0.02551135993389544	0.004535569616655859	52.68090106705778	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NY	44563	0.106	1.09e-05	0.22022780598166966	0.24765219865668348	0.29826800006211374	0.027083118897475854	0.012114900199944394	91.84382609213917	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
NY	44570	0.11	2.56e-05	0.21290694160955717	0.24066718879286053	0.3317112151216129	0.0279444055122318	0.022794031102940076	145.88899923960147	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SLOVENIA	44550	0.181	3.47e-05	0.236077400229471	0.2802692464351313	0.2081024339598435	0.09172258941335819	0.0013058995169758427	61.207449637750365	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SLOVENIA	44557	0.124	7e-06	0.22188121031346916	0.26942988876642515	0.2447496976287351	0.09235674931895478	0.0031015283748014135	53.88885387807803	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SLOVENIA	44564	0.105	7.3e-06	0.2105454225770395	0.2571991668242122	0.2729753333886563	0.09269474754930582	0.006592136600607832	60.94446766917318	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SLOVENIA	44571	0.12	2.1e-05	0.1980069001831226	0.24640887878920428	0.3102200660868225	0.09370594206162398	0.016425879423244843	119.40664212275195	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
USA	44540	0.185	9e-07	0.19967071842947146	0.22222881240410186	0.2013352549012193	0.04373291547786318	0.0004414874595395022	34.16699198987508	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
USA	44547	0.152	2e-07	0.19162367757239468	0.21553893816809477	0.23263162278927776	0.044534696119115355	0.001349151780810102	37.87091959674977	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
USA	44554	0.135	2e-07	0.1832858722054639	0.20758650408633744	0.2648694691306244	0.04522213759223744	0.0037434633717056552	47.98178649008846	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
USA	44561	0.129	4e-07	0.1754959520207612	0.1997115080480188	0.2965374344227313	0.04583628606944673	0.009978398020653548	85.65059247912977	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
USA	44568	0.125	9e-07	0.16830742663347859	0.19257923391886478	0.3304856158939442	0.04608008448170392	0.022627249723881283	153.83038298029527	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
CANADA	44541	0.191	9.6e-06	0.4256071110691995	0.4474424415628326	0.07304099888356658	0.010512198211251383	7.960868216915562e-05	8.917221177846026	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
CANADA	44548	0.179	2.9e-06	0.3911714034272124	0.42591916948740166	0.10398395095053443	0.011213351275720792	0.0004502060712421016	13.73948010581335	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
CANADA	44555	0.156	3.2e-06	0.3538564245811615	0.4049090286200344	0.15176396586186658	0.012380905381229032	0.002355268024326487	31.714373204541054	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
CANADA	44562	0.131	4.3e-06	0.32109906461478793	0.3832734994562663	0.193816463231557	0.013324613229396196	0.007671238547653812	66.19135298188442	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
CANADA	44569	0.114	8.9e-06	0.28563008179941674	0.3635576100513488	0.24806298502239024	0.013641878416026543	0.014923933073738623	93.43511949289156	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
DENMARK	44541	0.183	3.2e-06	0.36338637977070937	0.4134274224363902	0.20127507326909078	0.04186486377680746	0.0006944173278795469	88.88465339205385	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
DENMARK	44548	0.18	1.5e-06	0.2928607261903739	0.3955552966860748	0.3091961971020271	0.05011673501774124	0.0026289929096225857	123.05341554019842	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
DENMARK	44555	0.182	1.7e-06	0.24405530321949892	0.37777663679907536	0.40036791337542094	0.05795574410513197	0.009913393689402448	163.12243884800756	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
DENMARK	44562	0.179	3.8e-06	0.21121742151995612	0.36408101570379076	0.4775972159949236	0.0618665664656028	0.027138720450809686	255.52201944207724	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44542	0.126	2.24e-05	0.3801881549408041	0.42750536800286404	0.17023506210208583	0.024093575194475667	0.00022883320334294915	23.93236246881704	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
