Country	time	s_hat	s_var	x_eff_vac	x_eff_vac0	x_eff_boost	x_eff_delta	x_eff_omi	cases	dC_vac	dC_boost	dC_delta	dC_omi	s_model	s_0	L
ITALY	44546	0.165	3.8876190476190476e-05	0.3328517709527563	0.3936793973340675	0.2110831281534791	0.015953179349744	0.0002923794260782	29.216617892330344	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.128426427739082	0.04566270540147186	-13.045042762842643
ITALY	44553	0.137	2.0076190476190476e-05	0.3004295955504308	0.375793358400655	0.2678796348277941	0.0181873566979355	0.0011801576795351	40.28549304862106	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12321073268921762	0.04566270540147186	-0.2465076406305311
ITALY	44560	0.115	1.8876190476190478e-05	0.2709055183408692	0.3580589339800644	0.3214599841394815	0.0215349056700528	0.0043766448681001	77.23276442484509	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1180817284770225	0.04566270540147186	4.268304435601069
ITALY	44567	0.102	2.1076190476190477e-05	0.2409069708951611	0.3409907281883565	0.3797796060250218	0.0269154048186367	0.0148669813801351	165.98298996711875	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11089566251789437	0.04566270540147186	2.587441266558571
ITALY	44574	0.093	2.4676190476190476e-05	0.2097409483831492	0.3280016040539509	0.4567550323049946	0.0310217124471365	0.0321998511347033	254.1343278512805	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.10069422757619162	0.04566270540147186	3.186337413671679
ITALY	44581	0.079	3.317619047619047e-05	0.1812700730048736	0.3145422302822922	0.5383671788821657	0.0333555086987658	0.0517696801076901	294.0017149302147	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.08960846479855249	0.04566270540147186	2.5418117860305895
ITALY	44588	0.068	4.447619047619048e-05	0.1575639624058783	0.3016557279699799	0.6204377146892369	0.0342765311340995	0.0710543427965883	283.6553039191146	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.0791211018055928	0.04566270540147186	2.7009451990699658
ITALY	44595	0.058	8.757619047619049e-05	0.142273257116671	0.2912698798034942	0.7011782962051638	0.0343790875413112	0.085311657925908	235.1498210021089	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.0720708852302594	0.04566270540147186	2.6221760966291723
BELGIUM	44541	0.155	3.567619047619047e-05	0.3252876474040969	0.3933582716748103	0.2322463362344711	0.073029051371473	0.0012772417354106	130.74991370318858	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13985944522819105	0.0362960868379036	0.9888384772445704
BELGIUM	44548	0.125	2.0976190476190475e-05	0.2864700003709461	0.3731438642228453	0.2950342414561981	0.0766525346674264	0.0023493214468105	98.7460183542414	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13386677545865025	0.0362960868379036	2.593100213328392
BELGIUM	44555	0.119	2.0076190476190476e-05	0.2508545975436407	0.3531115741335694	0.3603754093363148	0.0784109981083453	0.0039719856593766	62.09072057250076	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12767710696424173	0.0362960868379036	2.6138883053914204
BELGIUM	44562	0.123	2.6076190476190477e-05	0.2265703550999175	0.3323295204105921	0.411153064947667	0.0797622625121731	0.0076546925021188	66.01312055402352	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12264606529330205	0.0362960868379036	4.355903422580757
BELGIUM	44569	0.131	4.3876190476190476e-05	0.1849613543164254	0.3132158748122942	0.4966090131602428	0.081325918880298	0.0164966244742403	110.94076218925626	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11270563865644397	0.0362960868379036	0.28417555493887026
GERMANY	44544	0.145	1.9976190476190477e-05	0.2812213150364707	0.366111550010681	0.2409546131198374	0.0340627334277114	0.0003591689041113	61.29238535502383	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14218024034192808	0.0628448554800931	4.2925331681753125
GERMANY	44551	0.136	1.6276190476190476e-05	0.24613078364509	0.3555298523112128	0.3194987780821308	0.0367498721495301	0.0008429706488944	51.41719248115623	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13720741018950877	0.0628448554800931	4.549180663440734
GERMANY	44558	0.131	1.5376190476190477e-05	0.2274103715632883	0.3409879205052006	0.3727321957009409	0.0380512351575642	0.0015702677719914	39.3134860947324	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13457114197703968	0.0628448554800931	4.207705239223039
GERMANY	44565	0.125	1.5276190476190475e-05	0.2100638409748775	0.3263464826630969	0.4245975181741778	0.0387983369285682	0.0028664597279232	34.071004599406045	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1317615518000044	0.0628448554800931	3.1292690303415656
GERMANY	44572	0.13	1.6076190476190477e-05	0.1922862753966401	0.3165708411576606	0.4905784592738906	0.039409553873961	0.0058473348864969	45.77582566054169	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1284600726797574	0.0628448554800931	4.526392789462782
