country	FLAI_time	t1	t2	s_hat	s_var	alpha_count_t1	alpha_count_t2	wt_count_t1	wt_count_t2	tmin	tmax	x_wt	x_alpha	x_voc
GERMANY	44197	12/18/2020	01/17/2021	0.072	9.02e-05	14	499	676.0	2846.0	44175	44297	0.9266601281122904	0.06565682638513788	0.0076830455025717476
GERMANY	44204	12/25/2020	01/24/2021	0.068	5.81e-05	22	1016	604.0	3693.0	44175	44297	0.8976543310036464	0.0971392648417731	0.005206404154580457
GERMANY	44211	01/01/2021	01/31/2021	0.069	2.25e-05	55	2004	794.0	3645.0	44175	44297	0.8718665454520294	0.12451966836893039	0.0036137861790402626
GERMANY	44218	01/08/2021	02/07/2021	0.085	8.4e-06	160	3579	1397.0	2441.0	44175	44297	0.8272288768189613	0.16856306226395437	0.004208060917084339
GERMANY	44225	01/15/2021	02/14/2021	0.123	4.8e-06	398	5238	2511.0	817.0	44175	44297	0.7475628218947962	0.2456349785707173	0.006802199534486519
JAPAN	44222	01/12/2021	02/11/2021	0.065	2.35e-05	66	167	6367.0	2284.0	44207	44333	0.9537517950377773	0.030836705495062674	0.015411499467160032
JAPAN	44229	01/19/2021	02/18/2021	0.059	1.72e-05	107	192	5823.0	1799.0	44207	44333	0.9392192784136228	0.045752078557259504	0.015028643029117647
JAPAN	44236	01/26/2021	02/25/2021	0.056	1.25e-05	144	277	4639.0	1670.0	44207	44333	0.9252653216846356	0.06053629673932371	0.01419838157604069
JAPAN	44243	02/02/2021	03/04/2021	0.059	1e-05	166	469	3431.0	1674.0	44207	44333	0.8998922029408739	0.08245389792422583	0.01765389913490026
JAPAN	44250	02/09/2021	03/11/2021	0.069	9.5e-06	166	858	2496.0	1622.0	44207	44333	0.8613143402938201	0.11630540404707387	0.02238025565910598
JAPAN	44257	02/16/2021	03/18/2021	0.097	8.5e-06	180	1720	1899.0	986.0	44207	44333	0.8074949278016189	0.1661808020509141	0.026324270147466994
TX	44223	01/13/2021	02/12/2021	0.103	2.15e-05	62	575	5260.0	2206.0	44208	44306	0.864089271965875	0.07982651788736761	0.05608421014675735
TX	44230	01/20/2021	02/19/2021	0.086	9.2e-06	145	884	4148.0	1956.0	44208	44306	0.8300468099483393	0.11630755108784094	0.053645638963819714
TX	44237	01/27/2021	02/26/2021	0.081	6.3e-06	284	1280	3110.0	1245.0	44208	44306	0.7923602690277378	0.15403037983537354	0.05360935113688864
TX	44244	02/03/2021	03/05/2021	0.114	7.6e-06	364	1722	2344.0	365.0	44208	44306	0.7306557709569939	0.2147990677695094	0.054545161273496734
SWITZERLAND	44192	12/13/2020	01/12/2021	0.087	5.79e-05	23	485	2146.0	3421.0	44177	44282	0.9528546223266217	0.04432759810916844	0.0028177795642099004
SWITZERLAND	44199	12/20/2020	01/19/2021	0.084	2.06e-05	61	772	2687.0	2750.0	44177	44282	0.9283981067731336	0.06809423507565296	0.0035076581512134275
SWITZERLAND	44206	12/27/2020	01/26/2021	0.088	9.9e-06	144	1098	3246.0	1767.0	44177	44282	0.8920943743646523	0.10301064645335475	0.0048949791819929145
SWITZERLAND	44213	01/03/2021	02/02/2021	0.105	6.8e-06	263	1342	3546.0	771.0	44177	44282	0.8241464941115058	0.1665635457376569	0.009289960150837356
NETHERLANDS	44188	12/09/2020	01/08/2021	0.099	0.0001288	11	267	949.0	1241.0	44173	44294	0.9385306873868247	0.055401586529767226	0.006067726083408116
NETHERLANDS	44195	12/16/2020	01/15/2021	0.081	4.18e-05	31	388	1156.0	1290.0	44173	44294	0.8863721664389065	0.09924746343553459	0.014380370125558928
