country	FLAI_time	t1	t2	s_hat	s_var	ba2_count_t1	ba2_count_t2	ba45_count_t1	ba45_count_t2	tmin	tmax	x_ba2	x_ba45
BELGIUM	44691	05/01/2022	05/21/2022	0.132	0.0002208	1395	1008	15	148	44681	44702	0.9526020191199674	0.04443958018572705
CANADA	44698	05/15/2022	05/21/2022	0.1	0.0009017	5236	4015	57	80	44695	44702	0.9720074042277641	0.014717722955101658
FINLAND	44694	05/07/2022	05/21/2022	0.08	0.0012443	593	346	8	14	44687	44702	0.9660357759627237	0.02701907987470886
FRANCE	44687	04/24/2022	05/21/2022	0.102	3e-05	4944	2757	53	464	44674	44702	0.9625849471307303	0.033419668078740604
GERMANY	44691	05/01/2022	05/21/2022	0.114	1.67e-05	17474	11225	184	1144	44681	44702	0.9640946591533799	0.03143314761480816
ITALY	44694	05/08/2022	05/21/2022	0.152	0.0006746	1173	598	13	46	44688	44702	0.9603588672754216	0.022585065724522436
NETHERLANDS	44688	04/25/2022	05/21/2022	0.105	0.0001226	1320	1128	15	192	44675	44702	0.9467887013511158	0.04553271952408516
NORWAY	44693	05/06/2022	05/21/2022	0.107	0.0007932	858	383	9	19	44686	44702	0.9722869102549309	0.02208806174941605
NY	44697	05/14/2022	05/21/2022	0.146	0.0002446	11681	9725	122	281	44694	44702	0.9829717238142048	0.015426412263356452
SPAIN	44687	04/23/2022	05/21/2022	0.121	6.31e-05	2163	1420	22	427	44673	44702	0.9300069622204166	0.06007608375104924
SWITZERLAND	44688	04/26/2022	05/21/2022	0.146	0.0005325	367	414	4	156	44676	44702	0.9138396191297843	0.0729485201169646
USA	44694	05/08/2022	05/21/2022	0.097	1.02e-05	66737	61330	744	2411	44688	44702	0.9761728216939073	0.02033367138295905
