country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
ITALY	44324	04/19/2021	05/29/2021	0.065	1.52e-05	0.127	0.068	0.0003744211795777893	0.022497735119168787	5042	1905	52	261	140.63	0.14203518423695338	0.03856613776634713	0.8193986779966995
ITALY	44331	04/26/2021	06/05/2021	0.064	7.6e-06	0.148	0.068	0.00040765414445942535	0.023248076926905233	4532	1340	109	408	109.76	0.157968233848794	0.04503089716749807	0.7970008689837079
ITALY	44338	05/03/2021	06/12/2021	0.063	6.5e-06	0.171	0.069	0.0004436786680769328	0.02379859723971327	3686	1247	140	595	81.58	0.17681453649453194	0.060386809300805144	0.762798654204663
ITALY	44345	05/10/2021	06/19/2021	0.071	5.1e-06	0.193	0.07	0.00048166288584705044	0.024182202703531608	3209	1115	154	919	57.85	0.1901139321553298	0.10862991253313824	0.701256155311532
ITALY	44352	05/17/2021	06/26/2021	0.083	4.8e-06	0.217	0.07	0.0005207561928740487	0.024434134102837894	2754	958	161	1535	40.31	0.2031430777087373	0.19721309087440603	0.5996438314168566
ITALY	44359	05/24/2021	07/03/2021	0.093	4.6e-06	0.243	0.07	0.0005618355218742278	0.024595409884151348	2287	728	194	2576	28.74	0.19934123150137573	0.27032924404324954	0.5303295244553747
ITALY	44366	05/31/2021	07/10/2021	0.099	4.1e-06	0.272	0.07	0.0006088331481059468	0.02469563498926733	1704	436	299	3951	21.74	0.1712305315800391	0.39297372687161963	0.43579574154834133
ITALY	44373	06/07/2021	07/17/2021	0.098	4.4e-06	0.305	0.071	0.0006707552277618378	0.024756296779296454	1287	273	453	4776	20.2	0.12419239536322046	0.5599771022646263	0.31583050237215327
ITALY	44380	06/14/2021	07/24/2021	0.1	5.3e-06	0.344	0.071	0.0007721136408668785	0.024793631387671558	1226	162	670	4813	25.95	0.07543748752158888	0.7413353415290788	0.18322717094933236
ITALY	44387	06/21/2021	07/31/2021	0.098	8.7e-06	0.388	0.071	0.0009497838660530512	0.02481764391865048	1063	88	1051	4282	37.5	0.0405214991560585	0.8732373129542705	0.08624118788967096
