country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
INDIA	44536	11/22/2021	12/22/2021	0.161	5.93e-05	0.347	0.347	0.014	0.0	0.014	0.0	21	2794	1864	2040	5.73	0.8801677189713242	0.11983228102406585
INDIA	44543	11/29/2021	12/29/2021	0.146	1.79e-05	0.372	0.372	0.014	0.0	0.014	0.0	78	3957	2250	1460	5.46	0.6784341703959973	0.3215646686993166
INDIA	44550	12/06/2021	01/05/2022	0.128	6.2e-06	0.397	0.397	0.014	0.0	0.014	0.0	279	4196	2495	821	9.01	0.4501356810699081	0.549784143389714
INDIA	44557	12/13/2021	01/12/2022	0.113	6.3e-06	0.418	0.418	0.014	0.0	0.014	0.0	1006	3612	2495	304	32.84	0.2870604548379671	0.7127620260850043
INDIA	44564	12/20/2021	01/19/2022	0.115	1.34e-05	0.438	0.438	0.014	0.001	0.014	0.0	2374	3037	2189	89	75.46	0.1778044150644743	0.8220007996453499
ITALY	44546	12/02/2021	01/01/2022	0.165	2.47e-05	0.736	0.5	0.018	0.229	0.018	0.001	51	2511	4552	1598	597.49	0.8054409273205785	0.19404356847356974
ITALY	44553	12/09/2021	01/08/2022	0.137	6.1e-06	0.739	0.455	0.021	0.276	0.021	0.003	279	2863	4662	796	1066.52	0.5970171036247002	0.4025783984983905
ITALY	44560	12/16/2021	01/15/2022	0.115	4.5e-06	0.742	0.416	0.024	0.325	0.024	0.009	851	2614	4199	412	1697.62	0.41839516370331803	0.5813566208013202
ITALY	44567	12/23/2021	01/22/2022	0.102	7.1e-06	0.746	0.373	0.028	0.375	0.028	0.019	1765	2638	2933	206	2281.24	0.23310566350904954	0.7668463663476217
ITALY	44574	12/30/2021	01/29/2022	0.093	1.04e-05	0.75	0.316	0.032	0.428	0.032	0.033	2392	2422	1931	121	2666.73	0.14821864893742073	0.8517812438072596
ITALY	44581	01/06/2022	02/05/2022	0.08	2.02e-05	0.756	0.265	0.034	0.48	0.034	0.048	2805	2041	944	64	2591.66	0.07793189958154395	0.92206810041845
ITALY	44588	01/13/2022	02/12/2022	0.067	3.12e-05	0.762	0.222	0.036	0.527	0.036	0.064	2718	1579	516	40	2219.76	0.05081225449749618	0.9491877448881987
ITALY	44595	01/20/2022	02/19/2022	0.057	7.25e-05	0.768	0.192	0.037	0.563	0.037	0.077	2590	1124	239	19	1743.6	0.03250586140580085	0.9674812677891947
BELGIUM	44541	11/27/2021	12/27/2021	0.154	2.22e-05	0.754	0.517	0.069	0.243	0.069	0.001	57	1703	5002	1471	964.2	0.8504514436963706	0.14950261139759732
BELGIUM	44548	12/04/2021	01/03/2022	0.125	6.2e-06	0.756	0.459	0.075	0.294	0.075	0.003	267	1797	4696	745	796.27	0.6937668980633329	0.3058072835365897
BELGIUM	44555	12/11/2021	01/10/2022	0.119	5.8e-06	0.758	0.407	0.079	0.345	0.079	0.005	615	1864	3945	340	865.16	0.4891003242531242	0.5100275661379279
